Type,C_vs_A,C_vs_MP,A_vs_MP
"Chao1, bacteria",0.3690164324839248,0.6526878694061358,1
"Shannon, bacteria",0.5709476282231701,1,1
"Chao1, eukaryotes",0.0025711277381533786,0.13042066292840288,0.27598246584088726
"Shannon, eukaryotes",1.371177841766077e-4,0.8325358851674642,2.4681201151789385e-4
