ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV60,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV72,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV80,ASV81,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV90,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV101,ASV102,ASV103,ASV104,ASV105,ASV106,ASV107,ASV108,ASV109,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV121,ASV122,ASV123,ASV124,ASV125,ASV126,ASV127,ASV128,ASV129,ASV130,ASV131,ASV132,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV141,ASV142,ASV143,ASV144,ASV145,ASV146,ASV147,ASV148,ASV149,ASV150,ASV151,ASV152,ASV153,ASV154,ASV155,ASV156,ASV157,ASV158,ASV159,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV167,ASV168,ASV169,ASV170,ASV171,ASV172,ASV173,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV187,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV197,ASV198,ASV199,ASV200,ASV201,ASV202,ASV203,ASV204,ASV205,ASV206,ASV207,ASV208,ASV209,ASV210,ASV211,ASV212,ASV213,ASV214,ASV215,ASV216,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV227,ASV228,ASV229,ASV230,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV238,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV247,ASV248,ASV249,ASV250,ASV251,Sample
809,490,387,414,225,124,111,102,95,44,76,58,45,44,108,62,44,34,24,41,11,1,26,46,44,46,50,22,26,20,33,32,48,14,25,16,34,11,6,13,17,91,34,13,14,15,15,12,11,36,19,9,1,14,33,13,12,13,19,12,10,23,12,9,15,28,13,10,6,12,3,10,13,7,10,13,5,13,17,7,6,4,10,10,10,16,7,8,3,8,7,9,9,0,2,9,9,11,5,2,5,4,7,6,3,5,9,8,3,3,3,4,0,0,1,2,5,2,7,3,0,3,2,5,2,2,1,6,0,3,4,2,3,6,1,4,5,2,2,4,1,5,10,0,0,3,3,3,4,2,0,4,2,2,1,2,6,4,6,3,0,1,2,3,0,1,9,0,0,0,0,2,3,1,1,1,2,6,3,1,0,3,1,4,2,1,3,2,3,0,0,0,2,1,0,0,3,0,2,1,0,0,0,1,0,0,3,1,5,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,SMP04_18s_1
260,128,165,114,57,45,32,24,40,51,19,20,19,17,22,14,26,14,15,24,11,0,17,14,8,8,14,9,9,9,4,8,20,6,7,1,3,0,6,9,14,5,16,3,8,11,6,3,2,0,3,5,12,7,4,5,8,9,5,7,1,9,3,2,5,3,2,3,6,4,2,0,3,7,2,3,1,1,0,2,1,6,5,4,1,3,0,1,2,1,4,2,3,3,2,2,4,4,2,2,5,1,6,2,2,2,1,2,2,0,1,2,2,0,1,3,1,0,0,0,2,2,4,0,2,1,0,1,0,0,0,0,0,1,1,2,3,0,0,2,1,0,1,0,3,2,2,1,0,0,1,1,5,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,2,4,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMP01_18s_1
660,359,333,89,141,96,100,83,48,43,44,36,54,34,18,36,30,14,40,27,4,0,24,13,29,26,13,22,11,17,19,19,7,7,18,14,7,20,23,11,13,1,14,5,14,9,10,10,7,8,8,6,3,2,8,7,11,7,9,14,11,2,7,9,3,5,9,8,4,8,3,3,9,9,3,6,8,10,1,5,12,6,6,0,10,3,4,6,6,5,7,5,5,1,5,5,3,1,5,2,2,4,4,5,5,2,3,3,2,6,0,6,8,0,8,10,2,2,6,0,6,3,1,1,1,4,2,4,4,1,2,2,2,1,1,2,1,0,1,1,1,0,1,0,2,0,3,2,3,0,1,3,2,2,0,0,3,3,0,3,0,1,3,1,0,1,0,0,2,0,0,4,2,2,0,0,0,0,0,0,3,1,0,0,3,0,0,0,3,0,1,2,3,0,1,2,0,2,0,0,0,0,0,1,1,1,2,0,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA05_18s_3
416,242,245,56,106,70,51,33,27,23,18,34,22,19,13,22,26,8,16,17,8,0,16,10,11,14,4,12,6,13,17,13,4,6,13,3,3,10,11,10,13,0,11,5,11,7,4,5,4,6,9,10,0,2,6,5,8,4,8,5,11,4,5,7,2,4,2,2,2,3,1,7,10,8,2,1,1,6,4,0,4,0,2,2,3,1,2,4,5,1,2,7,5,1,5,2,1,1,3,1,2,3,0,7,2,2,2,2,3,3,0,0,6,1,1,5,0,1,1,0,1,2,1,0,0,0,0,2,2,3,1,2,2,0,1,3,1,0,0,2,0,1,2,0,2,3,2,1,0,1,0,1,1,1,4,0,2,0,0,0,1,1,0,0,0,1,0,0,1,2,1,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SA05_18s_1
275,155,112,29,66,26,29,34,22,12,15,17,8,13,0,9,9,3,12,6,12,0,11,3,3,8,3,9,3,8,5,4,2,4,4,3,0,6,3,10,6,0,6,2,7,7,3,0,1,1,0,1,0,0,1,1,4,1,4,5,5,0,2,1,0,3,0,3,1,2,2,4,2,6,3,1,2,2,0,1,3,1,1,1,3,2,3,2,3,0,3,3,2,3,0,1,2,1,3,0,4,3,1,1,0,0,2,1,1,0,0,0,1,0,2,2,1,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,1,1,2,0,0,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA04_18s_1
1041,547,364,202,276,86,135,116,114,78,51,67,42,62,27,64,30,47,27,34,49,6,34,27,26,32,19,23,50,35,15,21,12,27,11,22,13,18,22,20,21,0,10,39,22,14,22,24,9,3,4,9,57,22,15,11,13,9,9,13,12,8,20,13,14,5,8,13,15,6,6,7,4,5,12,10,9,10,6,8,14,6,4,1,9,3,5,10,9,5,3,7,3,1,7,12,4,9,3,10,6,3,10,6,3,6,4,6,5,3,5,0,0,11,2,1,4,5,2,2,3,1,0,7,3,4,3,3,3,6,0,3,0,3,2,2,2,7,9,0,15,7,3,0,0,1,2,4,1,2,5,3,2,2,0,4,3,1,1,3,0,0,3,0,5,4,0,0,1,1,2,4,1,1,4,3,1,2,0,1,1,1,1,1,0,1,2,3,0,2,4,1,0,1,4,0,3,0,0,1,1,1,2,0,1,1,2,1,0,0,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,5,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,SC02_18s_3
756,402,497,242,214,135,92,82,96,175,81,54,70,44,40,64,61,68,50,41,16,0,40,21,30,29,20,25,28,20,26,21,46,23,21,12,29,20,19,28,20,13,18,7,8,20,9,6,16,8,17,25,17,13,12,10,12,21,9,10,9,24,10,8,13,13,13,7,10,14,10,8,7,1,8,4,6,21,0,13,7,4,14,9,7,9,1,5,2,9,6,12,4,9,6,8,7,5,1,6,10,5,9,3,9,7,2,6,5,5,8,1,1,1,6,3,4,3,3,0,1,4,5,2,2,5,2,2,3,3,6,1,3,1,3,4,4,0,4,2,3,2,4,0,5,1,4,2,4,1,9,2,1,1,3,2,1,4,2,2,1,1,4,2,2,2,2,0,0,3,3,0,1,0,3,0,0,6,1,0,0,1,0,2,0,2,0,2,0,2,2,0,0,1,0,1,2,8,0,0,0,2,1,2,0,1,1,0,4,0,1,0,1,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMP01_18s_3
1085,638,379,101,276,95,131,118,120,24,76,75,38,74,4,51,24,31,20,22,60,374,26,14,33,38,27,11,14,55,38,9,8,19,18,17,12,17,9,19,19,12,9,8,12,23,27,3,12,10,15,5,0,8,9,16,17,14,23,11,15,5,11,10,6,10,9,15,3,8,6,13,5,11,8,16,6,2,2,3,5,9,10,1,9,4,4,11,8,2,8,10,9,12,1,4,3,2,2,8,3,6,6,4,5,1,8,3,9,9,3,8,5,4,3,5,3,2,8,5,0,8,3,1,4,6,3,6,2,0,6,1,3,3,1,4,7,1,5,5,0,1,2,0,4,2,2,3,8,3,5,4,4,2,0,4,0,3,8,1,0,2,1,1,3,2,1,3,0,2,3,1,2,0,2,1,0,0,0,3,1,0,2,2,0,2,2,1,2,2,0,0,0,0,5,0,0,0,2,2,0,0,4,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,1,2,3,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,SA01_18s_3
969,557,491,265,266,145,124,103,150,105,79,53,57,56,30,69,56,92,45,32,37,0,35,34,28,31,25,34,31,38,27,35,46,25,22,36,37,22,27,16,23,15,15,32,18,15,17,34,12,37,52,21,30,18,16,18,15,19,18,15,10,19,11,25,19,14,15,9,9,11,13,9,15,8,10,5,20,14,45,8,13,17,11,14,19,11,5,5,9,4,10,6,19,13,6,15,3,4,7,4,7,1,3,9,1,8,6,12,2,4,5,10,2,0,10,7,9,5,12,12,4,6,7,5,7,2,7,3,6,2,3,5,9,4,2,5,2,5,5,3,3,1,1,23,12,4,1,4,6,4,1,3,0,5,1,5,1,3,2,2,3,0,0,3,1,1,1,0,7,0,4,0,5,0,2,2,4,1,0,2,2,1,1,2,1,1,3,0,2,2,2,12,0,1,0,2,2,1,3,3,0,1,1,1,1,1,2,1,0,0,4,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,1,0,0,0,SC01_18s_3
524,254,254,100,116,66,56,58,45,28,37,34,22,36,64,35,15,29,34,18,7,0,25,32,17,18,24,29,17,19,19,17,6,8,13,25,12,10,13,9,16,13,11,23,10,15,10,30,12,11,2,7,7,7,6,14,9,6,6,7,8,6,3,8,6,4,1,6,2,4,4,4,8,5,9,1,5,8,3,8,6,3,7,3,14,2,6,0,3,8,4,5,3,0,4,4,4,4,5,3,2,6,2,3,0,5,5,2,7,4,3,0,11,4,5,2,4,4,5,8,2,2,4,4,4,2,3,1,1,5,4,3,0,2,5,2,2,1,1,4,0,3,3,3,4,1,0,2,0,1,0,2,1,4,3,0,0,2,0,2,3,0,3,6,0,1,0,0,2,1,2,1,1,2,0,4,1,0,5,0,2,3,1,1,2,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,SC04_18s_1
