Otu,domain,phylum,class,order,family,genus,species
ASV144,Eukaryota,Cercozoa,Thecofilosea,Incertae Sedis_10,NA,Pseudodifflugia,NA
ASV172,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV181,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV121,Eukaryota,NA,NA,NA,NA,NA,NA
ASV120,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV178,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV138,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV160,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV52,Eukaryota,Diatomea,NA,Fragilariales,NA,Fragilaria,NA
ASV174,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV192,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV176,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
ASV212,Eukaryota,Archamoebae,Incertae Sedis_2,NA,NA,Rhizomastix,NA
ASV165,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV163,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV149,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV196,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV159,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV191,Eukaryota,Cercozoa,NA,NA,NA,NA,NA
ASV41,Eukaryota,NA,NA,NA,NA,NA,NA
ASV154,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV102,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV217,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV148,Eukaryota,NA,NA,NA,NA,NA,NA
ASV155,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV114,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Aspidisca,NA
ASV194,Eukaryota,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
ASV72,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV117,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Tokophrya,NA
ASV227,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV25,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
